Latitude,Longitude,TotalPop
40.5116582915,-74.2546733668,4908.0
40.5116582915,-74.25150753770001,4908.0
40.5116582915,-74.2483417085,4908.0
40.5116582915,-74.2451758794,4908.0
40.5116582915,-74.2420100503,4908.0
40.5116582915,-74.2388442211,6408.0
40.5116582915,-74.235678392,6408.0
40.5116582915,-74.2325125628,6408.0
40.5116582915,-74.2293467337,6408.0
40.5116582915,-74.2261809045,6408.0
40.5116582915,-74.2230150754,6690.0
40.5116582915,-74.2198492462,6690.0
40.5116582915,-74.2166834171,6690.0
40.5116582915,-74.2135175879,6690.0
40.5116582915,-74.2103517588,6690.0
40.5116582915,-74.2071859296,6690.0
40.5116582915,-74.2040201005,6690.0
40.5116582915,-74.2008542714,6690.0
40.5116582915,-74.1976884422,6690.0
40.5116582915,-74.1945226131,6690.0
40.5116582915,-74.1913567839,6690.0
40.5116582915,-74.18819095479999,6690.0
40.5116582915,-74.1850251256,6690.0
40.5116582915,-74.1818592965,6690.0
40.5116582915,-74.1786934673,6690.0
40.5116582915,-74.1755276382,6690.0
40.5116582915,-74.172361809,4980.0
40.513919598,-74.2546733668,4908.0
40.513919598,-74.25150753770001,4908.0
40.513919598,-74.2483417085,4908.0
40.513919598,-74.2451758794,4908.0
40.513919598,-74.2420100503,4908.0
40.513919598,-74.2388442211,4908.0
40.513919598,-74.235678392,6408.0
40.513919598,-74.2325125628,6408.0
40.513919598,-74.2293467337,6408.0
40.513919598,-74.2261809045,6408.0
40.513919598,-74.2230150754,6690.0
40.513919598,-74.2198492462,6690.0
40.513919598,-74.2166834171,6690.0
40.513919598,-74.2135175879,6690.0
40.513919598,-74.2103517588,6690.0
40.513919598,-74.2071859296,6690.0
40.513919598,-74.2040201005,6690.0
40.513919598,-74.2008542714,6690.0
40.513919598,-74.1976884422,6690.0
40.513919598,-74.1945226131,6690.0
40.513919598,-74.1913567839,6690.0
40.513919598,-74.18819095479999,6690.0
40.513919598,-74.1850251256,6690.0
40.513919598,-74.1818592965,6690.0
40.513919598,-74.1786934673,6690.0
40.513919598,-74.1755276382,6690.0
40.513919598,-74.172361809,4980.0
40.513919598,-74.1691959799,4980.0
40.513919598,-74.1660301508,4980.0
40.5161809045,-74.25150753770001,4908.0
40.5161809045,-74.2483417085,4908.0
40.5161809045,-74.2451758794,4908.0
40.5161809045,-74.2420100503,4908.0
40.5161809045,-74.2388442211,4908.0
40.5161809045,-74.235678392,4908.0
40.5161809045,-74.2325125628,6408.0
